dataset,convergence,lik_var,kern_var,kern_ls
observed,True,0.009239157745563342,0.0976586883217001,0.0028885168636363402
access-cm2,True,0.5080173986763077,21.22060155152358,0.4447465088012327
access-esm1-5,True,0.3444096471596466,14.599438972466952,0.5371043729812625
bcc-csm2-mr,True,0.2643712037207386,4.723521345955269,0.2030600901208972
canesm5,True,0.41700293746055,29.84821447758579,0.48976442175811663
canesm5-canoe,True,0.4078424763756257,69.47116032344746,0.8845973892988479
cesm2,True,0.41065336936438895,80.2717126270306,0.9397604710743537
cesm2-waccm,True,0.4408534679703239,50.16958705699364,0.760116879097279
giss-e2-1-g,True,0.25230198829667344,34.27472781541252,0.940103586608837
mcm-ua-1-0,True,0.6532805930393012,19.406873710444522,0.6957430699696228
miroc-es2l,True,0.4643334319991629,13.677980409844007,0.5346351788067308
miroc6,True,0.779165508201275,49.453905546601966,1.1017633526299802
mpi-esm1-2-hr,True,0.24776919330344652,2.1107937103577425,0.0655641592945696
mpi-esm1-2-lr,True,0.2380912945907622,5.845240043727434,0.2706761609205063
mri-esm2-0,True,0.36376147716897034,9.955382515040952,0.4250896962519501
noresm2-lm,True,0.3600782241292228,3.6026513683804993,0.2533894466603256
noresm2-mm,True,0.45964687951290234,11.448135050036175,0.5106531281674898
ukesm1-0-ll,True,0.6143511200653546,47.89040044589383,0.6860778781799202
